"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"Abitibi-Temiscamingue","Abitibi-Temiscamingue","8","khrtv8cn","108","rare-grass-25"
"Abitibi-Temiscamingue","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Capitale-Nationale","8","khrtv8cn","2","rare-grass-25"
"Abitibi-Temiscamingue","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Estrie","8","khrtv8cn","1","rare-grass-25"
"Abitibi-Temiscamingue","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Lanaudiere","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Laurentides","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Laval","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Mauricie","8","khrtv8cn","1","rare-grass-25"
"Abitibi-Temiscamingue","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Montreal","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Nord-du-Quebec","8","khrtv8cn","1","rare-grass-25"
"Abitibi-Temiscamingue","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Abitibi-Temiscamingue","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Bas-Saint-Laurent","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Bas-Saint-Laurent","Bas-Saint-Laurent","8","khrtv8cn","107","rare-grass-25"
"Bas-Saint-Laurent","Capitale-Nationale","8","khrtv8cn","0","rare-grass-25"
"Bas-Saint-Laurent","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Bas-Saint-Laurent","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Bas-Saint-Laurent","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Bas-Saint-Laurent","Estrie","8","khrtv8cn","0","rare-grass-25"
"Bas-Saint-Laurent","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","4","rare-grass-25"
"Bas-Saint-Laurent","Lanaudiere","8","khrtv8cn","0","rare-grass-25"
